OFF_HEAT_26_AUTO.csv - 	10010101 10011010 00100000 00000101 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 00100000 00000000 10000000 00000000 00000000 00010100 00010000 10000100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 00100000	00000000 10000000 00000000 00000000 00010100 00010000 10000100	
ON_FAN_--_LO.csv - 	10010101 10011010 11000000 00101110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 11101011 00000000 01100000 00000000 00000000 00011100 00010000 01101100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 11101011	00000000 01100000 00000000 00000000 00011100 00010000 01101100	
ON_FAN_--_ME.csv - 	10010101 10011010 01000000 00101110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 01101011 00000000 10001000 00000000 00000000 00011100 00010000 10000100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 01101011	00000000 10001000 00000000 00000000 00011100 00010000 10000100	
ON_FAN_--_HI.csv - 	10010101 10011010 10000000 00101110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101011 00000000 10001000 00000000 00000000 00011100 00010000 10000100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101011	00000000 10001000 00000000 00000000 00011100 00010000 10000100	
ON_FAN_--_QLO.csv - 	10010101 10011010 11000000 00101110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 11101011 00100000 10001000 00000000 00000000 00011100 00010000 10100100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 11101011	00100000 10001000 00000000 00000000 00011100 00010000 10100100	
ON_AUTO_25_AUTO.csv - 	10010101 10011010 00100100 10001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101111 00000000 10000000 00000000 00000000 00011100 00010000 10001100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101111	00000000 10000000 00000000 00000000 00011100 00010000 10001100	
ON_AUTO_25_LO.csv - 	10010101 10011010 11000100 10001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 01001111 00000000 10001000 00000000 00000000 00011100 00010000 10000100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 01001111	00000000 10001000 00000000 00000000 00011100 00010000 10000100	
ON_AUTO_25_ME.csv - 	10010101 10011010 01000100 10001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 11001111 00000000 10001000 00000000 00000000 00011100 00010000 10000100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 11001111	00000000 10001000 00000000 00000000 00011100 00010000 10000100	
ON_AUTO_25_HI.csv - 	10010101 10011010 10000100 10001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 00001111 00000000 10001000 00000000 00000000 00011100 00010000 10000100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 00001111	00000000 10001000 00000000 00000000 00011100 00010000 10000100	
ON_AUTO_26_AUTO.csv - 	10010101 10011010 00100100 10001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101111 00000000 10000000 00100000 00000000 00011100 00010000 10101100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101111	00000000 10000000 00100000 00000000 00011100 00010000 10101100	
OFF_AUTO_26_AUTO.csv - 	10010101 10011010 00100100 10001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101111 00000000 10000000 00100000 00000000 00010100 00010000 10100100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101111	00000000 10000000 00100000 00000000 00010100 00010000 10100100	
OFF_COOL_27_AUTO_2.csv - 	10010101 10011010 00100000 01001101 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 01101000 00000000 10000000 00000000 00000000 00010100 00010000 10000100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 01101000	00000000 10000000 00000000 00000000 00010100 00010000 10000100	
OFF_AUTO_16_AUTO.csv - 	10010101 10011010 00100110 10001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101101 00000000 10000000 00101000 00000000 00010100 00010000 10101100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101101	00000000 10000000 00101000 00000000 00010100 00010000 10101100	
ON_COOL_16_AUTO.csv - 	10010101 10011010 00100000 01000000 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 01100101 00000000 10000000 00000000 00000000 00011100 00010000 10001100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 01100101	00000000 10000000 00000000 00000000 00011100 00010000 10001100	
ON_AUTO_22_AUTO.csv - 	10010101 10011010 00101010 10001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 10100001 00000000 10000000 00000000 00000000 00011100 00010000 10001100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 10100001	00000000 10000000 00000000 00000000 00011100 00010000 10001100	
ON_AUTO_21_AUTO.csv - 	10010101 10011010 00100110 10001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101101 00000000 10000000 00000000 00000000 00011100 00010000 10001100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101101	00000000 10000000 00000000 00000000 00011100 00010000 10001100	
ON_AUTO_20_AUTO.csv - 	10010101 10011010 00100110 10001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101101 00000000 10000000 00100000 00000000 00011100 00010000 10101100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101101	00000000 10000000 00100000 00000000 00011100 00010000 10101100	
ON_AUTO_19_AUTO.csv - 	10010101 10011010 00100110 10001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101101 00000000 10000000 00010000 00000000 00011100 00010000 10011100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101101	00000000 10000000 00010000 00000000 00011100 00010000 10011100	
ON_AUTO_18_AUTO.csv - 	10010101 10011010 00100110 10001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101101 00000000 10000000 00110000 00000000 00011100 00010000 10111100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101101	00000000 10000000 00110000 00000000 00011100 00010000 10111100	
ON_AUTO_17_AUTO.csv - 	10010101 10011010 00100110 10001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101101 00000000 10000000 00001000 00000000 00011100 00010000 10000100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101101	00000000 10000000 00001000 00000000 00011100 00010000 10000100	
ON_AUTO_16_AUTO.csv - 	10010101 10011010 00100110 10001110 00000000 00000000 00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101101 00000000 10000000 00101000 00000000 00011100 00010000 10100100	00000001 00000000 00000000 00000000 00000100 00000000 00000000 10101101	00000000 10000000 00101000 00000000 00011100 00010000 10100100	
